split,metric,value
train,accuracy,0.395639
train,macro_precision,0.079128
train,macro_recall,0.200000
train,macro_f1,0.113393
train,weighted_precision,0.156530
train,weighted_recall,0.395639
train,weighted_f1,0.224313
train,mae,1.218588
train,qwk,0.000000
val,accuracy,0.397094
val,macro_precision,0.079419
val,macro_recall,0.200000
val,macro_f1,0.113692
val,weighted_precision,0.157684
val,weighted_recall,0.397094
val,weighted_f1,0.225731
val,mae,1.214286
val,qwk,0.000000
test,accuracy,0.385870
test,macro_precision,0.077174
test,macro_recall,0.200000
test,macro_f1,0.111373
test,weighted_precision,0.148895
test,weighted_recall,0.385870
test,weighted_f1,0.214876
test,mae,1.245773
test,qwk,0.000000
