split,metric,value
train,accuracy,0.739958
train,macro_precision,0.763473
train,macro_recall,0.751868
train,macro_f1,0.754716
train,weighted_precision,0.731310
train,weighted_recall,0.739958
train,weighted_f1,0.731475
train,mae,0.305402
train,qwk,0.862491
val,accuracy,0.640436
val,macro_precision,0.682171
val,macro_recall,0.651187
val,macro_f1,0.662903
val,weighted_precision,0.636584
val,weighted_recall,0.640436
val,weighted_f1,0.633146
val,mae,0.445521
val,qwk,0.780448
test,accuracy,0.664251
test,macro_precision,0.690579
test,macro_recall,0.652595
test,macro_f1,0.666185
test,weighted_precision,0.658916
test,weighted_recall,0.664251
test,weighted_f1,0.654151
test,mae,0.403986
test,qwk,0.810581
