split,metric,value
train,accuracy,0.725069
train,macro_precision,0.748494
train,macro_recall,0.733112
train,macro_f1,0.737136
train,weighted_precision,0.706765
train,weighted_recall,0.725069
train,weighted_f1,0.711550
train,mae,0.321849
train,qwk,0.855650
val,accuracy,0.667070
val,macro_precision,0.690992
val,macro_recall,0.675154
val,macro_f1,0.681174
val,weighted_precision,0.657124
val,weighted_recall,0.667070
val,weighted_f1,0.659602
val,mae,0.404358
val,qwk,0.804816
test,accuracy,0.675121
test,macro_precision,0.696651
test,macro_recall,0.666447
test,macro_f1,0.678752
test,weighted_precision,0.662307
test,weighted_recall,0.675121
test,weighted_f1,0.665595
test,mae,0.385266
test,qwk,0.822647
