split,metric,value
val,accuracy,0.697337
val,macro_precision,0.723870
val,macro_recall,0.679907
val,macro_f1,0.692336
val,weighted_precision,0.679700
val,weighted_recall,0.697337
val,weighted_f1,0.679641
val,mae,0.380145
val,qwk,0.815996
test,accuracy,0.684179
test,macro_precision,0.686743
test,macro_recall,0.653049
test,macro_f1,0.659411
test,weighted_precision,0.652653
test,weighted_recall,0.684179
test,weighted_f1,0.657665
test,mae,0.379831
test,qwk,0.827446
