experiment,parameters,train_accuracy,val_accuracy,val_macro_f1,val_qwk,val_mae,test_accuracy,test_macro_f1,test_qwk,test_mae
e1,28214885,nan,0.62590799031477,0.6690354733109956,0.8078805526299486,0.42736077481840196,0.6539855072463768,0.6851764183293101,0.831834623107618,0.38707729468599034
e2,30738475,nan,0.6452784503631961,0.6655499006706662,0.8026435457466804,0.42009685230024213,0.6829710144927537,0.6903109617250471,0.8249287285883254,0.3780193236714976
e3,30939997,nan,0.6694915254237288,0.6969885612681546,0.8155540680338343,0.3910411622276029,0.6660628019323671,0.6712032364288778,0.8269484815163759,0.3882850241545894
e4,32533600,nan,0.6501210653753027,0.6740736734084044,0.8065995053387223,0.41646489104116224,0.6690821256038647,0.6649852321323795,0.8175819317170078,0.39553140096618356
e5,33010082,nan,0.6682808716707022,0.6972691092531645,0.8079831193951117,0.4067796610169492,0.6781400966183575,0.6788653786589374,0.8377199787677105,0.37318840579710144
e6,33538466,nan,0.6743341404358354,0.6853802862776427,0.8115102594121635,0.3910411622276029,0.6793478260869565,0.6758148364153984,0.8201667894224145,0.3822463768115942
e7,34262178,nan,0.6973365617433414,0.6923356835095966,0.8159957564684388,0.3801452784503632,0.6841787439613527,0.6594109987261304,0.8274463541700143,0.37983091787439616
e8,34340667,nan,0.6549636803874092,0.6700642106593866,0.8055671704199271,0.4152542372881356,0.677536231884058,0.6765103731348414,0.8297923313156681,0.37681159420289856
