split,metric,value
val,accuracy,0.674334
val,macro_precision,0.714574
val,macro_recall,0.664203
val,macro_f1,0.685380
val,weighted_precision,0.667679
val,weighted_recall,0.674334
val,weighted_f1,0.667763
val,mae,0.391041
val,qwk,0.811510
test,accuracy,0.679348
test,macro_precision,0.696628
test,macro_recall,0.661090
test,macro_f1,0.675815
test,weighted_precision,0.673190
test,weighted_recall,0.679348
test,weighted_f1,0.672987
test,mae,0.382246
test,qwk,0.820167
