split,metric,value
val,accuracy,0.668281
val,macro_precision,0.707260
val,macro_recall,0.701657
val,macro_f1,0.697269
val,weighted_precision,0.669705
val,weighted_recall,0.668281
val,weighted_f1,0.660153
val,mae,0.406780
val,qwk,0.807983
test,accuracy,0.678140
test,macro_precision,0.687847
test,macro_recall,0.681395
test,macro_f1,0.678865
test,weighted_precision,0.671920
test,weighted_recall,0.678140
test,weighted_f1,0.667522
test,mae,0.373188
test,qwk,0.837720
