split,metric,value
train,accuracy,0.819945
train,macro_precision,0.844396
train,macro_recall,0.840469
train,macro_f1,0.842312
train,weighted_precision,0.821045
train,weighted_recall,0.819945
train,weighted_f1,0.820329
train,mae,0.194598
train,qwk,0.920264
val,accuracy,0.664649
val,macro_precision,0.715759
val,macro_recall,0.690935
val,macro_f1,0.701945
val,weighted_precision,0.679570
val,weighted_recall,0.664649
val,weighted_f1,0.671076
val,mae,0.389831
val,qwk,0.817541
test,accuracy,0.699275
test,macro_precision,0.730279
test,macro_recall,0.705508
test,macro_f1,0.717189
test,weighted_precision,0.703227
test,weighted_recall,0.699275
test,weighted_f1,0.701010
test,mae,0.338164
test,qwk,0.851386
